id,total_kills,total_deaths,total_time_played,total_planted_bombs,KD,cluster
76561198048556641,33326.0,25936.0,1936757.0,1217.0,1.2849321406539174,0
76561198048925367,4495.0,4971.0,259317.0,46.0,0.9042446187889761,0
76561198049025080,692.0,860.0,51024.0,7.0,0.8046511627906977,0
76561198049040909,4378.0,4560.0,273617.0,26.0,0.9600877192982457,0
76561198050538255,460.0,507.0,30246.0,13.0,0.9072978303747534,0
76561198052929205,1935.0,1856.0,141315.0,59.0,1.0425646551724137,0
76561198054495579,327.0,475.0,21679.0,11.0,0.6884210526315789,0
76561198054565212,1029.0,1732.0,132667.0,141.0,0.5941108545034642,0
76561198055116779,2447.0,2883.0,80520.0,6.0,0.8487686437738466,0
76561198057870230,44469.0,38838.0,2200105.0,925.0,1.1449868685308204,0
76561198059530437,15176.0,21656.0,1282183.0,471.0,0.7007757665312153,0
76561198059640025,2410.0,2323.0,172283.0,69.0,1.0374515712440808,0
76561198061796576,84370.0,95593.0,5255026.0,3555.0,0.8825960059837017,1
76561198061961608,4951.0,3792.0,338297.0,295.0,1.3056434599156117,0
76561198063193503,2996.0,2708.0,197982.0,71.0,1.106351550960118,0
76561198063526576,18237.0,3241.0,405325.0,395.0,5.626966985498303,0
76561198063904137,2595.0,1805.0,153978.0,151.0,1.4376731301939059,0
76561198065135851,105.0,262.0,27736.0,9.0,0.40076335877862596,0
76561198066054025,8628.0,6800.0,583624.0,471.0,1.2688235294117647,0
76561198067643301,35602.0,30989.0,2234392.0,1198.0,1.148859272645132,0
76561198067840269,42476.0,40518.0,3057951.0,1788.0,1.048324201589417,1
76561198068216224,510.0,495.0,25398.0,3.0,1.0303030303030303,0
76561198068273460,70751.0,75032.0,6378869.0,2693.0,0.9429443437466681,1
76561198068580886,615.0,577.0,68819.0,42.0,1.0658578856152514,0
76561198070373653,18857.0,20424.0,1689974.0,1723.0,0.9232765374069722,0
76561198070915769,97.0,145.0,6956.0,1.0,0.6689655172413793,0
76561198071172373,59378.0,51547.0,3657024.0,1805.0,1.1519196073486333,1
76561198072020534,42300.0,35552.0,2704346.0,2054.0,1.1898064806480648,1
76561198073811838,1688.0,1593.0,70896.0,2.0,1.0596359070935342,0
76561198075190189,1373.0,587.0,42302.0,182.0,2.3390119250425894,0
76561198076829792,16485.0,11561.0,838397.0,517.0,1.4259147132600987,0
76561198077142686,163055.0,135524.0,7912080.0,3568.0,1.2031448304359376,2
76561198077611538,10866.0,7570.0,270747.0,21.0,1.4354029062087186,0
76561198083961931,68936.0,61696.0,4108731.0,2155.0,1.1173495850622406,1
76561198084702785,41.0,94.0,5873.0,9.0,0.43617021276595747,0
76561198085042386,5983.0,5406.0,531637.0,222.0,1.1067332593414725,0
76561198085407072,34974.0,28770.0,1042187.0,300.0,1.2156412930135558,0
76561198087338483,155462.0,171955.0,11068151.0,3647.0,0.9040853711726905,2
76561198087894453,2455.0,2741.0,189768.0,77.0,0.8956585187887632,0
76561198088917616,28455.0,23763.0,2181640.0,1159.0,1.1974498169423053,0
76561198091875872,64604.0,49523.0,3560047.0,3053.0,1.3045251701229732,1
76561198092647503,15881.0,13710.0,1048305.0,973.0,1.1583515681983954,0
76561198093687897,6651.0,7261.0,384487.0,321.0,0.9159895331221595,0
76561198093984886,58073.0,51457.0,3474477.0,1211.0,1.128573371941621,1
76561198104613529,11982.0,8946.0,402559.0,228.0,1.3393695506371563,0
76561198109597669,11959.0,15529.0,984493.0,224.0,0.7701075407302467,0
76561198109597669,11959.0,15529.0,984493.0,224.0,0.7701075407302467,0
76561198109955276,732.0,613.0,52085.0,54.0,1.1941272430668841,0
76561198110299268,1154.0,1433.0,70186.0,39.0,0.8053035589672016,0
76561198110663044,0.0,0.0,0.0,0.0,0.0,0
76561198111017254,5100.0,7869.0,403288.0,210.0,0.6481128478841022,0
76561198111281675,30970.0,27956.0,2091877.0,1217.0,1.107812276434397,0
76561198112762812,41097.0,33048.0,3096591.0,2650.0,1.243554829339143,1
76561198114222649,92600.0,101891.0,4005019.0,1602.0,0.9088143211863658,1
76561198114280120,22662.0,22012.0,1434652.0,1154.0,1.0295293476285663,0
76561198114411339,43994.0,38997.0,3024479.0,2537.0,1.1281380619021977,1
76561198114496661,87.0,154.0,13506.0,4.0,0.564935064935065,0
76561198114877516,191.0,285.0,15826.0,23.0,0.6701754385964912,0
76561198114952927,29106.0,34067.0,2044019.0,1390.0,0.8543752018082015,0
76561198114996098,25416.0,27531.0,1871377.0,904.0,0.923177508989866,0
76561198115206677,16864.0,12903.0,1227461.0,713.0,1.3069828722002634,0
76561198115327578,10941.0,11552.0,943867.0,694.0,0.9471087257617729,0
76561198115448279,23054.0,21801.0,1533470.0,1136.0,1.0574744277785422,0
76561198116184763,18749.0,12184.0,877775.0,894.0,1.5388214051214708,0
